Date, Race, Distance, Ascent, Venue, Country, Region, Miles, Climb, Web
Thu 27th Jul 2017 at 19:30,Stoney Middleton,8.5km / 5.3m,200m / 656ft,Stoney Middleton playing field,England,Peak District,5.3,200,http://fellrunner.org.uk/races.php?id=4480 
Sat 12th Aug 2017 at 15:20,Arncliffe Gala ( B O F R A ),3km / 1.9m,140m / 459ft,Arncliffe Village Green BD23 5QD,England,York. Dales,1.9,140,http://fellrunner.org.uk/races.php?id=4730 
Thu 13th Jul 2017 at 19:15,Beacon Hill,9.7km / 6m,458m / 1503ft,Lordenshaw car park Rothbury Northumberland,England,Northumberland / Durham,6.0,458,http://fellrunner.org.uk/races.php?id=4731 
Sat 26th Aug 2017 at 14:30,Bellingham Show,6.4km / 4m,183m / 600ft,Bellingham Showfield main ring,England,Northumberland / Durham,4.0,183,http://fellrunner.org.uk/races.php?id=4732 
Sat 6th May 2017 at 11:00,Eskdale Elevation,20.2km / 12.6m,1455m / 4774ft,Boot Eskdale Cumbria CA19 1TG GR NY176011,England,Lake District,12.6,1455,http://fellrunner.org.uk/races.php?id=4733 
Wed 7th Jun 2017 at 19:30,Boar's Head,13km / 8.1m,400m / 1312ft,Boar's Head Hotel Hr Poynton GR SJ943833,England,Peak District,8.1,400,http://fellrunner.org.uk/races.php?id=4734 
Sat 6th May 2017 at 14:00,Bollington Festival 3 Peaks,9km / 5.6m,370m / 1214ft,Bollington Brewery Adlington Rd Bollington Ches SK10 5JT,England,Peak District,5.6,370,http://fellrunner.org.uk/races.php?id=4735 
Sat 24th Jun 2017 at 14:00,Chrome Hill,6.4km / 4m,213m / 699ft,Hollinsclough Academy SK17 0RH,England,Peak District,4.0,213,http://fellrunner.org.uk/races.php?id=4736 
Sun 18th Jun 2017 at 11:00,Great Lakes Run,21km / 13m,2130m / 6988ft,Stool End Farm Great Langdale,England,Lake District,13.0,2130,http://fellrunner.org.uk/races.php?id=4737 
Sun 13th Aug 2017,Two Hillforts,14.8km / 9.2m,570m / 1870ft,Kinmel Arms Llandyrnog LL16 4HN,Wales,Wales,9.2,570,http://fellrunner.org.uk/races.php?id=4739 
Fri 22nd Sep 2017,F R A Navigation Course,Unknown,Unknown,Elterwater,England,Lake District,0.0,0,http://fellrunner.org.uk/races.php?id=4740 
Fri 10th Mar 2017,F R A Navigation Course,Unknown,Unknown,Kettlewell,England,York. Dales,0.0,0,http://fellrunner.org.uk/races.php?id=4741 
Thu 20th Apr 2017 at 19:30,Hartcliff Hill,4km / 2.5m,150m / 492ft,Langsett Barn S36 4GY,England,Peak District,2.5,150,http://fellrunner.org.uk/races.php?id=4742 
Sat 1st Jul 2017 at 15:00,Thurlstone Chase,6.4km / 4m,244m / 801ft,Thurlstone Showground,England,Peak District,4.0,244,http://fellrunner.org.uk/races.php?id=4743 
Thu 7th Sep 2017 at 18:45,Hades Hill,8km / 5m,360m / 1181ft,Red Lion PH The Square Whitworth OL12 8PY SD885177,England,South/West Pennines,5.0,360,http://fellrunner.org.uk/races.php?id=4744 
Wed 16th Aug 2017 at 19:00,Golf Ball,8.8km / 5.5m,244m / 801ft,CPA Club Commercial St Loveclough Rossendale BB4 8QA,England,South/West Pennines,5.5,244,http://fellrunner.org.uk/races.php?id=4745 
Wed 26th Jul 2017 at 19:00,Fellside,11.3km / 7m,580m / 1903ft,Fellside Village,England,Lake District,7.0,580,http://fellrunner.org.uk/races.php?id=4746 
Sat 26th Aug 2017 at 12:30,Dufton Show,8km / 5m,460m / 1509ft,Dufton Show Field Dufton Cumbria CA16 6DB,England,North Pennines,5.0,460,http://fellrunner.org.uk/races.php?id=4747 
Sat 26th Aug 2017 at 14:00,Chipping Show,12.1km / 7.5m,549m / 1801ft,Chipping Show Field PR3 2QE,England,Bowland/NW Lancs.,7.5,549,http://fellrunner.org.uk/races.php?id=4748 
Sat 20th May 2017 at 11:00,Charlesworth Chase ( Simon's Seat),8.3km / 5.2m,366m / 1201ft,Outside Craven Arms Appletreewick N Yorks BD23 6DA,England,York. Dales,5.2,366,http://fellrunner.org.uk/races.php?id=4749 
Sun 19th Mar 2017 at 11:00,Carrock Fell,9km / 5.6m,500m / 1640ft,Calebreck Car Park Hesket Newmarket Wigton CA7 8JR,England,Lake District,5.6,500,http://fellrunner.org.uk/races.php?id=4750 
Sat 4th Mar 2017 at 14:00,Carding Mill Canter,8km / 5m,580m / 1903ft,Carding Mill Valley Pavilion Church Stretton SY6 6JG,England,Shropshire/Welsh Borders,5.0,580,http://fellrunner.org.uk/races.php?id=4751 
Mon 28th Aug 2017 at 13:30,Black Combe Country Fair  Bootle,12.5km / 7.8m,625m / 2051ft,Black Combe Country Fair Show Bootle LA19 5TL,England,Lake District,7.8,625,http://fellrunner.org.uk/races.php?id=4752 
Sun 1st Jan 2017 at 12:00,Nine Standards,12.9km / 8m,549m / 1801ft,Market Square Kirkby Stephen,England,North Pennines,8.0,549,http://fellrunner.org.uk/races.php?id=4753 
Sat 1st Jul 2017,Dollar,15km / 9.3m,960m / 3150ft,Dollar Academy FK14 7DU NS959983,Scotland,Scotland,9.3,960,http://fellrunner.org.uk/races.php?id=4755 
Sat 26th Aug 2017,Ochil 2000s,32.7km / 20.3m,1646m / 5400ft,Stirling University Sports Centre FK9 4LA NS805965,Scotland,Scotland,20.3,1646,http://fellrunner.org.uk/races.php?id=4756 
Sat 3rd Jun 2017,Welsh 1000m Peaks,32km / 19.9m,2440m / 8005ft,Abergwyngregyn LL33 SH653728,Wales,Wales,19.9,2440,http://fellrunner.org.uk/races.php?id=4757 
Sun 17th Sep 2017 at 11:00,Fat Boys Stanage Struggle,9.9km / 6.2m,355m / 1165ft,Hathersage Primary School School Lane Hathersage,England,Peak District,6.2,355,http://fellrunner.org.uk/races.php?id=4758 
